countyFIPS,age_over_65,black,hispanic,white_not_hispanic
1001,12,17.7,2.4,77.2
1003,16.8,9.4,4.4,83.5
1005,14.2,46.9,5.1,46.8
1007,12.7,22,1.8,75
1009,14.7,1.3,8.1,88.9
1011,13.5,70.2,7.1,21.9
1013,16.7,43.4,0.9,54.1
1015,14.3,20.6,3.3,73.6
1017,16.7,38.7,1.6,58.1
1019,17.9,4.6,1.2,92.1
1021,13.6,9.7,7.8,81.1
1023,18.2,43.4,0.5,55.6
1025,16.2,43.9,1,54
1027,17.6,14.8,2.9,80.3
1029,15.8,3.3,2.1,93.2
1031,14.4,16.7,6.4,72.3
1033,17.4,16.1,2,79.6
1035,17.9,46.5,1.2,51.1
1037,17.1,31,2,65.9
1039,18.4,12.5,1.3,84.1
1041,15.9,23.4,1.5,72.1
1043,15.9,1.1,4.3,92.7
1045,13.5,19.3,5.6,71.1
1047,14.1,69.4,0.7,28.9
1049,13.9,1.5,13.6,81.6
1051,11.9,20,2.7,75
1053,15.2,31.9,1.9,61.3
1055,15.8,15.1,3.3,79.3
1057,17.9,11.4,1.2,86
1059,15.2,3.9,14.9,79.6
1061,17.4,9.5,3.4,84.7
1063,16.1,81.5,0.8,17.3
1065,15,59,0.9,39.4
1067,17.6,28.6,2.2,67.8
1069,14.5,25.8,2.9,68.7
1071,16.5,3.3,2.5,90.1
1073,13.1,42,3.9,51.7
1075,18.8,11.3,1.2,86.1
1077,16.8,10,2.2,85.5
1079,14.6,11.5,1.7,76.9
1081,9.1,22.7,3.3,69.8
1083,12.3,12.6,5.5,78.7
1085,14.6,73.5,0.8,25.1
1087,14.1,82.6,1.1,15.2
1089,12.2,24,4.6,66.1
1091,16.3,51.7,1.7,45.7
1093,18.3,3.8,2.1,92.6
1095,14.9,1.6,12.1,83.9
1097,12.9,34.6,2.4,59.1
1099,15.7,41.7,1,54.7
1101,12,54.7,3.6,38.4
1103,14.1,11.9,7.7,77.5
1105,16.7,68.7,1.1,29.7
1107,16.9,41.6,1.6,55.8
1109,12.8,36.6,2.2,57.4
1111,17,20.1,2.8,75.4
1113,12.7,41.8,3.7,52.1
1115,13.1,8.6,2.1,87.3
1117,10.6,10.6,5.9,80.2
1119,15,75,0.6,24
1121,14.1,31.7,2,64.5
1123,17.3,26.6,2.5,69.3
1125,10.8,29.6,3.1,65
1127,16.3,5.9,2,90.4
1129,14.7,24.9,0.9,65.2
1131,15,72.5,0.6,26.6
1133,17.7,0.5,2.6,94.9
2013,4.9,7,12.3,13.5
2016,3.5,6,13.1,31.4
2020,7.2,5.6,7.6,62.6
2050,6.1,0.4,1.1,10.9
2060,8.3,0,2.4,47.7
2068,7.5,0.5,2.3,88.4
2070,7.6,0.2,2.1,17.6
2090,6.5,4.5,5.8,74.1
2100,13.8,0.4,1.9,82.2
2105,13.4,0.4,3.6,46.2
2110,8.4,0.9,5.1,67.4
2122,11.3,0.5,3,82.8
2130,10.1,0.6,4,66.2
2150,6.7,0.7,7.3,52.5
2170,7.9,1,3.7,82.8
2180,6.4,0.3,1.2,15.9
2185,4.3,1,2.6,32.4
2188,6,0.5,0.8,11
2195,11.5,0.4,3.4,69.4
2198,10.1,0.3,2.3,49.6
2220,11.4,0.5,4.9,63.5
2240,9.4,1.1,3.3,78.7
2261,8.3,0.5,3.6,72.1
2270,5.4,0,0.1,2.7
2290,10.2,0.2,1.2,21.8
4001,11.6,0.2,5.8,20.4
4003,17.3,4.2,32.4,58.5
4005,8.9,1.2,13.5,55.2
4007,23.2,0.4,17.9,65.9
4009,11.4,1.8,30.4,52.3
4011,12,1.1,47.9,48.1
4012,32.6,0.6,23.5,62.7
4013,12.1,5,29.6,58.7
4015,23.3,0.9,14.8,79.6
4017,13.3,0.9,10.8,43.9
4019,15.4,3.5,34.6,55.3
4021,13.9,4.6,28.5,58.7
4023,13.1,0.4,82.8,16
4025,24.1,0.6,13.6,82
4027,15.7,2,59.7,35.3
5001,16.4,24.5,2.7,71
5003,16.2,25.8,4.9,68.2
5005,28.1,0.2,1.7,96
5007,12.2,1.3,15.5,76.6
5009,18.1,0.2,1.8,95.2
5011,17.7,27.6,13.2,58
5013,17.2,22.2,2.8,73.4
5015,18.7,0.4,12.7,84
5017,18.2,54.1,4.6,40.3
5019,14.8,23.5,4,70.4
5021,20,0.3,1.3,96.9
5023,23.6,0.3,2,95.9
5025,16.3,12.2,1.7,85.1
5027,16,36.9,2.2,59.2
5029,16.9,11.2,3.6,82.4
5031,12.2,13.1,4.4,79.6
5033,13.3,1.2,6.1,86.8
5035,10.8,51.2,2,45.2
5037,15.4,22.2,1.5,74.7
5039,18.2,41.9,2.3,54.1
5041,15.1,47.8,4.4,46.8
5043,14.8,27.8,2.5,68
5045,10,10.2,3.9,82.4
5047,16.6,0.7,2,93.8
5049,22.4,0.3,0.8,96.4
5051,20.9,7.9,4.8,84
5053,14.5,2.2,2.2,94.1
5055,14.3,0.6,2.1,95.4
5057,15,29.4,12,56.5
5059,15.7,10.8,2.8,84.1
5061,15.3,20.6,9.8,67.4
5063,15.6,2,5.8,89.8
5065,23.6,1.3,1.5,95
5067,15.9,16.7,2.4,78.8
5069,13.2,55.1,1.6,41.4
5071,14.7,1.4,12.1,83.5
5073,19.4,37.2,1.7,59.9
5075,18.1,0.8,0.9,96.7
5077,15.4,55.3,1.6,41.4
5079,12.4,29.9,3.2,65.8
