countyFIPS,% Fair or Poor Health,Number of Physically Unhealthy Days per month,Number of Mentally Unhealthy Days per month,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,# Uninsured,# Primary Care per 100K,Social Association Rate per 100K,Violent Crime Rate per 100K,Average Daily PM2.5
1001,21,4.7,4.7,18,33,7.2,35,69,15,4093,45,12.1,272,11.7
1003,18,4.2,4.3,17,31,8,27,74,18,19119,73,10.2,204,10.3
1005,30,5.4,5.2,22,42,5.6,24,53,13,2136,32,7.5,414,11.5
1007,19,4.6,4.6,19,38,7.8,34,16,16,1727,49,8.4,89,11.2
1009,22,4.9,4.9,19,34,8.4,30,16,14,6333,22,8.4,483,11.7
1011,31,5.4,4.9,23,37,4.3,25,3,12,803,29,7.8,311,11.2
1013,28,5.4,5.3,22,43,6.6,40,49,12,1759,25,9.1,582,10.6
1015,23,4.9,4.8,21,39,6.9,32,48,14,11021,64,14.5,756,11.8
1017,24,4.9,4.9,19,40,6.4,30,62,13,3208,42,17.8,529,11.4
1019,21,4.8,4.7,17,35,8.3,31,33,14,2219,39,8.5,330,11.4
1021,21,4.8,4.9,20,38,8.1,33,46,15,5015,20,15.2,508,11.2
1023,25,4.9,5,19,41,6.4,36,29,12,1124,39,19.3,128,10.1
1025,25,5.1,5.1,21,34,5.4,35,25,12,2287,54,16.2,475,10.4
1027,24,5,5,20,41,7.8,33,64,13,1459,37,10.5,309,10.6
1029,19,4.5,4.9,18,37,8,31,41,14,1590,27,8.1,103,11
1031,19,4.4,4.6,17,34,7.5,31,54,15,5153,54,14.7,276,10.9
1033,21,4.6,4.6,19,31,7.4,37,56,15,4218,64,16.9,400,10.7
1035,29,5.4,5.4,21,43,5.6,41,37,12,1151,40,7.2,387,10.3
1037,25,5.1,5.1,20,40,6.9,35,6,13,1049,,10.2,255,11
1039,23,4.7,4.9,19,32,7.6,36,50,14,3523,51,12.7,331,10.5
1041,22,4.7,4.9,19,38,6.2,34,22,15,1372,14,10.1,332,10.7
1043,22,4.7,4.9,18,37,8.2,37,42,15,8469,56,11.7,129,11.6
1045,23,5,4.8,20,37,6.7,32,46,15,3910,18,10.6,437,11
1047,30,5.6,5.6,24,43,4.6,27,60,11,3281,74,12,925,11.1
1049,26,5.3,5,21,29,8.2,32,45,12,10190,42,8.5,312,11.3
1051,19,4.3,4.7,17,34,7.6,26,52,16,5607,26,10.9,239,11.9
1053,26,5.2,5.2,22,39,6.6,32,48,13,4003,35,14.4,446,10.2
1055,21,4.9,4.8,20,36,7.1,34,49,14,10219,81,15.8,604,11.5
1057,22,4.9,5,18,41,7.9,34,34,14,1471,97,7.9,,10.6
1059,25,5.2,5.2,19,34,7.9,38,58,13,3974,44,9.5,264,10.5
1061,23,5,5,20,39,7.8,37,20,14,2945,30,8.7,414,10.6
1063,34,5.9,5.5,25,36,3.2,18,6,10,736,48,9.6,669,10.5
1065,28,5.4,5.3,22,40,6.1,28,30,11,1248,20,6.1,209,10.8
1067,21,4.7,4.8,18,36,7.9,35,25,14,1610,29,14,197,10.9
1069,20,4.7,4.8,19,38,7.1,31,67,14,9416,84,12,488,10.7
1071,23,5,5.1,20,39,7.9,29,47,13,5398,54,9.1,317,11
1073,20,4.4,4.7,18,35,6.3,30,79,15,54690,108,14.4,873,13.4
1075,24,5.2,5.1,20,36,7.8,37,10,13,1246,,7.9,162,10.3
1077,20,4.7,4.8,17,33,7.6,29,65,14,8213,51,14.8,269,11
1079,22,4.9,5,20,33,8,36,49,14,3773,15,13.6,260,11.3
1081,21,4.5,4.6,18,30,6.4,21,68,16,14323,53,8,416,12.1
1083,20,4.5,4.8,18,34,8.1,29,61,15,8573,34,9.1,160,11.8
1085,30,5.5,5.2,23,47,4.6,34,5,10,876,10,6,671,10.9
1087,30,5.4,5.3,21,50,4,32,31,11,1410,37,6.9,734,11.7
1089,19,4.4,4.7,17,33,7.5,22,69,16,28477,88,10.8,611,11.6
1091,26,5.3,5.2,21,42,5.5,32,43,12,1509,36,17,449,10.6
1093,22,4.9,4.9,19,37,7.9,31,47,14,2625,34,10.4,296,10.5
1095,22,5,5.1,21,34,8,36,54,14,12263,55,10.3,286,11.8
1097,22,4.5,5.2,19,36,6.4,31,70,15,40073,67,11.7,548,10.8
1099,30,5.7,5.3,23,42,5,34,52,11,2163,38,12.7,492,10.4
1101,24,5,4.7,20,38,5.5,29,74,14,20236,98,15,532,11.9
1103,21,4.6,4.7,19,32,7.9,27,59,14,11202,49,12.5,181,11.6
1105,35,6.4,5.9,26,43,4.9,35,53,10,776,32,10.7,381,10.7
1107,27,5.2,5,21,35,7.1,26,6,12,1708,40,9.9,166,10.5
1109,25,5.1,5.1,21,36,6.2,28,51,15,3383,48,10.5,564,11
1111,21,4.8,4.9,19,37,7.2,34,41,14,2345,31,9.3,196,11
1113,25,5,5,22,45,6.6,32,64,13,5458,26,10,505,12.1
1115,19,4.5,4.6,18,37,8.4,31,42,15,7286,17,8.6,299,12
1117,16,4,4.1,16,35,8.6,25,84,17,14209,81,11.1,264,12
1119,34,5.9,5.4,22,43,4.6,38,36,11,1091,55,9.5,435,10.4
1121,23,4.8,5,23,39,7,35,48,14,6501,31,12.4,469,11.5
1123,23,4.8,5,18,36,7.2,30,69,13,3778,49,14,639,11.4
1125,20,4.5,5,18,35,7.1,30,76,16,15936,72,11.1,402,11.3
1127,24,5.2,5.4,23,40,7.5,36,44,14,5978,41,14.7,450,11.6
1129,23,5,5,21,33,7.2,34,18,14,1859,18,15.1,243,10.1
1131,29,5.5,5.2,22,48,2.5,37,6,11,894,37,6.5,645,10.4
1133,21,4.8,5,20,38,8,32,76,14,2359,42,9.3,107,11
2013,17,3.4,2.8,17,51,5.3,30,100,17,857,,0,,
2016,15,3,2.5,15,44,7.6,30,100,19,1051,35,0,295,
2020,15,3.5,3.2,15,32,8,18,100,21,32847,110,11.3,1007,
2050,24,5.4,4.6,30,31,2.9,31,100,22,3267,100,3.9,,
2060,15,3.7,3.6,18,42,6.9,29,100,21,128,0,0,0,
2068,13,3.4,3.3,18,25,6,18,100,23,248,,0,,
2070,23,4.8,4.5,27,36,4.8,24,100,22,783,264,0,,
2090,12,3,3.2,16,30,7.7,18,100,23,11342,78,9.7,,
2100,13,3.5,3.3,16,27,7.6,21,100,21,357,277,0,156,
2105,17,4.1,3.8,20,32,4.3,19,,18,381,,0,,
2110,11,3,3.1,17,27,8.2,16,100,24,3641,128,15.6,714,
2122,15,3.8,3.5,17,33,7.6,23,100,21,7679,78,14.8,,
2130,14,3.4,3.2,17,38,8.1,19,100,20,1995,101,13.7,358,
2150,13,3.2,3,15,34,8.1,25,100,22,2188,126,14.1,,
2158,37,7.1,5.8,41,23,1.9,28,,17,1369,,3.7,,
2164,22,4.8,4.2,28,38,3.5,22,100,21,366,0,0,,
2170,13,3.7,3.3,18,34,7.6,22,100,21,13772,45,8,,
2180,25,5.4,4.5,32,40,3.5,25,100,22,1915,91,6,,
2185,16,3.8,3.4,24,40,6.9,35,100,22,1614,31,3.1,809,
2188,24,5.3,4.5,31,42,3.4,27,100,21,1703,52,6.5,,
2195,12,3.2,3.1,15,25,8.3,18,,21,499,183,9.1,411,
2198,18,4.3,3.9,22,45,6.3,23,,20,1252,78,15.5,,
2220,13,3.4,3.3,16,27,8.1,18,100,21,1335,196,15,101,
2230,12,3,3.1,16,33,8,19,,23,139,0,0,372,
2240,15,3.4,3.4,20,33,6.1,19,100,20,1235,102,5.8,,
2261,12,3.1,3.2,17,35,7.2,19,100,25,1193,97,16.2,316,
2275,15,3.7,3.5,17,43,7.5,30,,18,370,119,0,0,
2282,16,3.8,3.6,20,32,5.9,23,100,20,92,0,0,,
2290,23,5.2,4.4,30,31,1.9,24,100,22,1109,19,0,,
4001,26,5.6,5.3,22,34,2,27,19,13,11444,32,3.5,109,5.7
4003,18,4.2,4.3,15,30,6.8,25,60,15,9661,55,8.4,333,7.5
4005,16,4.2,4.2,16,24,6.1,17,83,17,14874,85,9.4,357,5.6
4007,19,4.5,4.5,18,31,6.2,27,92,16,5082,47,9.7,574,5.8
4009,19,4.4,4.2,18,35,6.3,23,56,17,2948,59,4.8,109,6
4011,18,3.7,3.8,14,29,5.8,22,46,18,704,53,5.3,41,5.7
4012,22,4.5,4.5,16,30,6.2,40,39,13,2412,29,4.4,264,5.7
4013,16,3.6,3.8,14,27,7.7,20,92,18,436313,70,5.3,409,10.6
4015,19,4.4,4.8,19,32,5.8,32,59,16,18843,49,5.6,221,5.1
4017,24,5,5.2,21,34,4.6,29,56,14,13205,62,6.8,281,5.7
4019,17,3.9,4,15,25,7.5,20,88,17,87312,84,6.3,470,7.9
4021,20,4.2,4.2,16,33,7.6,29,66,16,35192,16,3.4,221,11.7
4023,27,4.5,4.4,15,27,7.8,20,67,14,5250,50,4.1,140,7.6
4025,15,4.1,4.5,17,23,6.8,23,85,17,20081,62,8.9,300,5.1
4027,23,4.1,3.7,13,37,6.8,26,84,18,22653,47,4.6,330,8
5001,23,4.8,4.7,20,31,5.5,38,48,14,1277,56,13.4,473,10
5003,24,4.8,4.9,20,43,6,47,50,13,1474,39,13.8,321,9.6
5005,19,4.4,4.7,16,34,7.7,30,65,13,2383,75,9.7,182,9.7
5007,16,3.8,4,17,29,8.2,24,77,18,24123,60,8.6,275,10.4
5009,21,4.4,4.6,20,34,7,30,54,14,2541,75,10.7,551,9.4
5011,28,5.2,4.9,22,46,6.5,41,67,13,997,55,12,261,9.8
5013,24,4.8,4.7,21,29,4.6,37,11,13,329,38,13.3,211,9.7
5015,22,4.7,4.5,18,28,8.1,34,52,13,2719,57,13.2,337,9.4
5017,30,5.2,5,23,39,2.9,36,29,11,690,103,8.5,367,10
5019,24,4.8,4.7,19,27,5.1,38,67,15,1145,45,15.3,329,10.1
5021,23,4.9,4.9,20,43,7.1,32,52,14,998,13,14.7,221,10.8
5023,20,4.4,4.6,17,37,7.6,34,66,14,1666,56,15.2,367,10.1
5025,22,4.7,4.7,19,36,7,33,1,15,579,12,7.3,95,9.8
5027,27,5.2,5,20,36,5.9,34,42,14,1467,59,14,317,9.8
5029,22,4.7,4.7,19,37,6.9,38,43,14,1414,67,14.3,211,10.2
5031,23,4.8,4.9,21,38,6.7,34,65,15,7096,116,8.4,431,10.8
5033,20,4.7,4.8,19,35,7.4,31,74,14,5179,40,7.6,380,10.3
5035,26,4.9,4.8,23,41,5.8,38,73,13,3263,35,9.2,1274,10.1
5037,24,4.8,4.8,20,39,6.7,37,50,13,1194,42,17.2,664,10.2
5039,23,4.5,4.5,19,39,5.5,45,18,12,436,41,20.3,597,9.9
5041,32,5.6,5.2,24,38,4.1,37,60,11,894,43,17,730,10
5043,25,5,4.8,21,41,5.8,30,40,14,1217,70,10.8,362,9.8
5045,21,4.3,4.6,21,35,7.2,30,55,18,8380,49,9.1,361,10.6
5047,22,4.8,4.8,21,34,7.4,37,66,14,1355,28,10.6,427,9.8
5049,22,4.8,4.9,20,28,6.5,30,44,12,843,58,6.6,184,9.7
5051,20,4.6,4.8,19,30,6.6,35,78,14,7267,88,11,645,9.9
5053,20,4.5,4.4,18,36,7.8,39,27,16,906,11,9.9,254,10
5055,20,4.5,4.6,20,36,7,33,40,16,2636,58,11.1,379,10.8
5057,27,5.1,4.9,22,29,5.8,36,64,12,1900,27,10.5,628,10.1
5059,20,4.6,4.6,20,36,7.2,38,25,16,1910,21,10.4,230,10.2
5061,26,4.9,5,22,45,5.7,30,10,13,1269,45,13.4,154,10
5063,23,4.7,4.9,20,29,7.2,30,51,15,2462,77,13.9,496,10.2
5065,20,4.6,4.6,20,35,7.7,31,50,14,964,37,13.2,221,9.8
5067,25,5,5,22,43,6,33,36,14,1034,41,10.5,692,10.2
5069,26,5,4.7,21,41,5.4,34,53,13,3760,68,14.3,1009,10.4
5071,24,4.8,4.7,21,40,7.6,29,61,14,2276,56,8.3,244,9.8
5073,25,4.9,4.8,20,46,5.8,45,14,12,543,29,10.2,178,9.7
5075,21,4.6,4.7,19,32,6.3,31,43,15,1060,30,9.7,227,10.4
5077,29,5.2,4.9,25,39,3.4,33,43,13,479,11,12,294,10.1
5079,25,4.6,4.5,22,33,5.7,40,39,15,738,15,8.1,155,10
5081,24,4.9,4.8,21,38,6.8,35,62,13,871,24,12.9,144,10.1
5083,22,4.9,4.8,20,33,7.3,35,73,14,1653,18,12.9,380,9.9
5085,19,4.2,4.3,19,43,7.5,33,47,16,4518,16,8.5,340,10.7
5087,22,4.7,4.7,21,35,7,31,48,15,1506,18,4.3,188,9.2
5089,20,4.6,4.8,20,29,7.2,30,19,13,1131,12,7.9,342,9.4
5091,23,4.8,4.8,21,34,5.8,40,65,14,2859,73,10,537,10.1
5093,27,5.2,4.9,24,41,5.7,38,72,13,2645,43,12.3,987,10.7
5095,28,5.3,5.1,22,39,5.7,37,57,11,451,42,9.9,371,10.1
5097,22,4.6,4.7,18,29,6.9,24,98,13,734,22,5.6,219,9.5
5099,26,4.9,4.9,21,36,5.6,41,40,12,543,36,9.6,194,10
5101,22,4.7,4.8,19,32,6.2,26,59,13,552,,5.1,316,8.9
5103,27,5.3,5.1,23,38,5.2,34,42,12,1306,50,19.3,620,9.9
5105,20,4.5,4.6,19,33,7.4,28,46,15,730,10,7.7,519,10
5107,33,5.6,5.3,24,43,2.4,40,13,10,1073,54,11.3,1192,10.2
5109,22,4.7,4.7,20,34,7,37,51,14,1011,28,12.1,142,9.8
5111,24,5,4.9,22,42,5.7,40,34,14,1855,17,10.8,348,10.5
5113,24,5,5.2,20,34,5.7,31,60,13,1995,70,13.9,297,9.4
5115,22,4.8,4.6,19,34,7.2,32,68,16,5305,64,13.3,372,10.2
5117,22,4.5,4.7,19,44,5.8,47,41,14,573,12,14.5,170,10.2
5119,19,4,4,18,33,6.2,30,84,15,25097,117,15.7,1060,10.8
5121,22,4.7,4.9,20,35,6.3,33,41,14,1228,57,5.7,295,10.2
5123,28,5,4.9,24,43,4.5,40,62,13,1491,46,10,777,10.2
5125,15,3.7,4,16,30,7.9,27,59,17,7429,44,7.5,352,10.6
5127,23,4.9,4.9,20,38,7.2,37,88,14,955,19,10.5,318,9.4
5129,22,4.7,4.7,20,32,6.4,31,23,13,587,25,5,127,9.3
5131,21,4.5,4.8,22,31,7.3,30,78,15,13661,129,10.7,636,10.6
5133,29,5,4.7,20,33,7.4,37,56,13,2559,47,8.8,216,9.9
5135,26,5.4,5.4,21,38,6.5,35,45,12,1330,29,15.5,,10
5137,23,4.9,4.8,20,39,6.3,33,58,13,1068,48,11.2,239,9.6
5139,23,4.6,4.8,20,35,5.8,33,48,13,2859,56,24.1,583,9.8
5141,21,4.7,4.9,19,37,7.1,31,57,13,1181,24,12.7,278,9.8
5143,20,4.1,4.5,19,30,7.5,25,86,17,24582,81,8.5,455,9.9
5145,20,4.4,4.7,19,31,7.3,31,57,15,5396,51,10.4,344,10.5
5147,26,5.1,5,21,42,6.4,41,50,12,479,46,15.2,161,10.1
5149,25,4.8,4.7,21,38,7.7,35,54,14,2103,56,11.2,334,10.1
6001,12,3,3.2,10,19,8.3,15,100,20,82298,110,6.5,629,10.4
6003,16,4.2,4.4,14,23,6.9,21,100,20,65,0,0,442,5.6
6005,13,3.4,3.7,11,30,8.2,25,76,21,1532,67,7.8,237,8.9
6007,17,4.2,4.4,14,27,7,22,84,20,13164,61,7.8,327,8.9
6009,12,3.4,3.9,11,31,8.2,31,60,20,2427,44,8.5,327,9
6011,19,4,4,12,41,8.2,28,75,20,1970,32,5,201,8.7
6013,12,3.1,3.6,10,24,8.5,16,97,20,57232,103,5.6,336,11.6
6015,18,4.3,4.4,15,34,6.4,25,89,20,1247,62,4,609,8.5
6017,12,3.4,3.8,11,23,8.2,18,90,22,8134,81,5.9,218,9.3
6019,24,4.2,3.9,13,31,7.7,20,78,17,73987,67,5.2,542,15.3
6021,18,4.1,4.1,13,32,8,19,66,20,2551,18,7.5,408,9.1
6023,16,4.1,4.6,14,29,7.1,17,85,21,9743,69,9,432,8.8
6025,25,4.3,4.1,13,35,7.2,31,69,17,11751,24,4.4,366,13.5
6027,15,3.6,3.9,12,28,7.5,27,42,20,1229,111,7.8,600,7.3
6029,23,4.3,4.1,15,32,7.7,22,76,18,65273,49,4.7,545,19.7
6031,21,4.4,4.1,14,29,7.8,24,44,21,10715,40,3.9,443,16.7
6033,18,4.2,4.5,14,25,7,23,66,19,4522,45,6.4,535,6.9
6035,15,3.8,3.9,14,41,7.5,37,54,24,910,32,5.1,587,7.4
6037,16,3.6,3.6,11,22,8.5,16,98,19,872284,73,5.7,488,14.2
6039,23,4.3,4.3,13,36,7.7,28,70,20,13143,44,4.5,620,14
6041,11,3,3.4,10,17,8.8,13,97,20,10856,148,8.7,178,10.3
6043,14,3.6,4.1,12,24,7.5,21,49,19,1013,34,8,431,9.2
6045,17,3.9,4.2,13,32,7.6,19,72,19,7306,90,7.8,640,8.8
6047,23,4.3,4.2,14,28,7.6,22,70,19,20452,44,4.4,555,12
6049,16,4,4.3,14,28,6.8,25,46,18,667,68,0,505,6.6
6051,14,3.5,3.8,12,25,7.4,18,92,23,1189,64,2.8,262,6.1
6053,22,4.1,4.1,12,28,8.6,20,90,19,41482,60,5.1,421,6.7
6055,14,3.3,3.8,10,24,9,19,90,20,9599,96,7.4,398,10.6
6057,12,3.5,3.9,12,22,7.8,14,81,21,5154,70,9.9,264,8.1
6059,14,3.1,3.3,9,19,8.9,15,100,20,226030,97,6.2,214,10.6
6061,11,3.1,3.5,10,21,8.5,15,94,20,13373,124,7.4,162,10.5
6063,14,3.7,4.1,11,27,7.6,24,98,19,920,85,11.7,575,9.9
6065,17,3.8,4.1,12,27,8.3,21,89,20,183037,43,4,291,14.8
6067,16,3.8,4,12,29,7.6,19,97,20,83649,85,7.2,508,9.1
6069,17,3.6,3.8,11,32,9.4,28,66,21,4260,32,4.1,299,6.2
6071,20,3.9,3.9,13,29,8.1,23,84,19,155864,58,4.5,442,14.9
6073,14,3.5,3.5,11,20,8.4,14,97,22,235409,80,5.8,328,10.4
6075,11,3,3.4,10,18,8.2,14,100,23,37103,154,8.9,760,9.8
6077,17,3.5,3.7,12,33,7.9,25,86,20,48411,58,4.8,787,11.9
6079,13,3.4,4,11,26,8.1,15,88,20,15624,83,9.1,408,10.5
6081,12,2.8,3.1,9,21,9.1,16,100,19,35270,106,5.8,209,9.2
6083,17,3.7,3.7,11,25,8.6,16,92,21,38236,76,7.7,318,10.2
