countyFIPS,Rural Urban Code,Urban Influence Code,Poverty
1001,2,2,12.1
1003,3,2,10.1
1005,6,6,27.1
1007,1,1,20.3
1009,1,1,16.3
1011,6,6,30
1013,6,6,21.6
1015,3,2,17.2
1017,6,5,19.6
1019,6,6,15.9
1021,1,1,16
1023,9,10,22.6
1025,7,11,18.4
1027,9,10,16.6
1029,8,4,13.3
1031,4,5,15
1033,3,2,14.6
1035,7,11,22.2
1037,8,3,17.1
1039,6,6,17.2
1041,8,6,16.8
1043,4,3,12.2
1045,4,5,18.1
1047,4,5,26
1049,6,6,18.2
1051,2,2,11.4
1053,6,6,20.5
1055,3,2,18.8
1057,6,6,17
1059,6,6,16.1
1061,3,2,16.1
1063,8,6,31.7
1065,3,2,20.5
1067,3,2,17.2
1069,3,2,19.4
1071,6,5,14.7
1073,1,1,16.2
1075,8,7,15.3
1077,3,2,15.7
1079,3,2,17.7
1081,3,2,15.5
1083,2,2,12
1085,2,2,26.6
1087,6,6,29.3
1089,2,2,11.5
1091,7,11,24.8
1093,7,11,16.9
1095,4,5,15.7
1097,2,2,17.7
1099,7,11,23.3
1101,2,2,15.8
1103,3,2,13.7
1105,8,4,33.9
1107,3,2,24.3
1109,6,5,21.8
1111,6,4,17.5
1113,2,2,18.9
1115,1,1,11.2
1117,1,1,6.2
1119,8,6,36.4
1121,4,3,17.4
1123,6,6,16
1125,3,2,16.2
1127,1,1,17.3
1129,8,7,18.6
1131,9,10,32.5
1133,6,4,16.7
2013,9,12,14.8
2016,9,11,7.6
2020,2,2,9.5
2050,7,11,23.5
2060,9,12,9.8
2068,8,7,6.6
2070,9,12,18.1
2090,3,2,7.2
2100,9,12,9.8
2105,9,10,15.7
2110,5,8,6.3
2122,7,11,10.4
2130,7,8,9.4
2150,7,11,7.1
2158,9,12,26.8
2164,9,12,17.4
2170,2,2,9.6
2180,7,11,20.7
2185,7,11,11.4
2188,7,11,24
2195,9,11,6.7
2198,9,10,17.6
2220,7,11,8.1
2230,9,12,4
2240,9,12,12
2261,9,11,8.6
2275,9,12,9.7
2282,9,12,14.7
2290,9,12,24.4
4001,6,6,33.4
4003,3,2,16.6
4005,3,2,15.9
4007,4,3,21.1
4009,7,8,20.1
4011,7,9,9.3
4012,6,4,22.1
4013,1,1,12.2
4015,3,2,16
4017,4,5,25.2
4019,2,2,14
4021,1,1,12.1
4023,4,5,18.8
4025,3,2,12
4027,3,2,20.4
5001,6,6,15.8
5003,7,11,18.5
5005,7,8,12.7
5007,2,2,8.9
5009,7,8,15.1
5011,7,9,22.9
5013,9,8,15.4
5015,6,6,14.7
5017,7,9,31
5019,7,8,20.6
5021,7,9,18.7
5023,6,6,14.1
5025,3,2,13.7
5027,7,8,21.2
5029,6,6,15.6
5031,3,2,16.9
5033,2,2,18.3
5035,1,1,22.4
5037,6,4,17.8
5039,6,6,18.8
5041,6,6,25.4
5043,6,6,18.5
5045,2,2,14.4
5047,6,6,16.2
5049,9,9,17.7
5051,3,2,16.9
5053,2,2,12.1
5055,4,5,15.5
5057,6,6,18.5
5059,6,5,20.2
5061,6,6,16.8
5063,7,8,15.9
5065,9,10,15.9
5067,6,6,22.9
5069,3,2,24.4
5071,7,9,17.5
5073,8,7,25.5
5075,6,6,18.4
5077,7,9,35.4
5079,3,2,27.1
5081,3,2,17.8
5083,6,6,17.4
5085,2,2,10.7
