countyFIPS,Uninsured Population
1001,"4,300"
1003,"15,600"
1005,"2,700"
1007,"2,700"
1009,"6,400"
1011,"1,100"
1013,"2,400"
1015,"11,300"
1017,"3,200"
1019,"3,100"
1021,"4,100"
1023,"1,500"
1025,"2,700"
1027,"1,600"
1029,"1,800"
1031,"5,700"
1033,"4,400"
1035,"1,400"
1037,"1,100"
1039,"4,300"
1041,"1,600"
1043,"7,500"
1045,"6,000"
1047,"5,100"
1049,"7,400"
1051,"6,300"
1053,"4,000"
1055,"14,300"
1057,"2,200"
1059,"2,500"
1061,"3,200"
1063,"1,100"
1065,"1,800"
1067,"2,000"
1069,"12,000"
1071,"5,500"
1073,"58,100"
1075,"1,900"
1077,"7,500"
1079,"3,200"
1081,"7,100"
1083,"9,100"
1085,900
1087,"2,100"
1089,"29,700"
1091,"2,500"
1093,"3,500"
1095,"7,500"
1097,"43,300"
1099,"2,400"
1101,"22,300"
1103,"11,300"
1105,"1,200"
1107,"1,800"
1109,"3,200"
1111,"2,700"
1113,"5,200"
1115,"9,300"
1117,"11,700"
1119,"1,600"
1121,"9,700"
1123,"3,900"
1125,"15,500"
1127,"8,500"
1129,"1,800"
1131,"1,200"
1133,"2,300"
2013,500
2016,900
2020,"31,700"
2050,"2,700"
2060,200
2068,200
2070,800
2090,"8,200"
2100,200
2105,300
2110,"2,600"
2122,"6,800"
2130,"1,100"
2150,"2,100"
2164,300
2170,"10,800"
2180,"1,500"
2185,"1,500"
2188,"1,200"
2195,600
2198,900
2220,"1,400"
2230,100
2240,600
2261,800
2270,"1,200"
2275,400
2282,100
2290,900
4001,"15,800"
4003,"10,200"
4005,"15,200"
4007,"5,300"
4009,"3,700"
4011,800
4012,"1,900"
4013,"403,500"
4015,"19,000"
4017,"23,700"
4019,"88,600"
4021,"61,100"
4023,"3,700"
4025,"22,100"
4027,"24,300"
5001,"1,700"
5003,"2,100"
5005,"3,300"
5007,"20,300"
5009,"2,900"
5011,"1,100"
5013,300
5015,"2,200"
5017,"1,200"
5019,"2,200"
5021,"1,400"
5023,"2,400"
5025,900
5027,"1,100"
5029,"1,300"
5031,"8,500"
5033,"5,400"
5035,"4,200"
5037,"1,900"
5039,400
5041,"1,300"
5043,"1,800"
5045,"10,300"
5047,"1,400"
5049,"1,100"
5051,"9,400"
5053,"1,500"
5055,"3,700"
5057,"2,100"
5059,"3,200"
5061,"1,000"
5063,"3,300"
5065,"1,200"
5067,"1,600"
5069,"6,500"
5071,"1,600"
5073,700
5075,"1,600"
5077,"1,100"
5079,"1,400"
5081,"1,300"
5083,"1,700"
5085,"6,200"
5087,"1,200"
5089,"1,300"
5091,"4,100"
5093,"3,800"
5095,900
5097,900
5099,900
5101,700
5103,"1,200"
5105,700
5107,"2,300"
5109,"1,100"
5111,"2,600"
5113,"1,500"
5115,"3,900"
5117,700
5119,"28,900"
5121,"1,600"
5123,"3,000"
5125,"9,400"
5127,800
5129,600
5131,"10,900"
5133,"1,300"
5135,"1,600"
5137,"1,100"
5139,"1,900"
5141,"1,600"
5143,"28,000"
5145,"6,700"
5147,600
5149,"1,400"
6001,"52,200"
6003,100
6005,"3,600"
6007,"12,800"
6009,"4,400"
6011,"1,800"
6013,"42,900"
6015,"2,900"
6017,"7,600"
6019,"65,300"
6021,"2,400"
6023,"9,800"
6025,"10,800"
6027,"1,800"
6029,"65,700"
6031,"7,000"
6033,"3,100"
6035,"3,500"
6037,"719,200"
6039,"9,000"
6041,"8,200"
6043,"1,700"
6045,"4,300"
6047,"23,900"
6049,"1,000"
6051,"1,400"
6053,"26,200"
6055,"7,000"
6057,"5,100"
6059,"184,300"
6061,"13,800"
6063,"2,000"
6065,"176,600"
6067,"83,600"
6069,"4,300"
6071,"174,100"
6073,"218,500"
6075,"29,200"
6077,"46,700"
6079,"16,000"
6081,"24,900"
6083,"33,500"
6085,"70,100"
6087,"12,500"
6089,"12,500"
6091,200
6093,"4,500"
6095,"16,500"
6097,"23,400"
6099,"30,900"
6101,"5,500"
6103,"5,300"
6105,"1,200"
6107,"28,800"
6109,"5,300"
6111,"56,800"
6113,"8,000"
6115,"4,100"
8001,"38,000"
8003,"1,200"
8005,"41,800"
8007,"1,000"
8009,300
8011,700
8013,"15,800"
8014,"3,100"
8015,"2,600"
8017,200
8019,400
8021,600
8023,300
8025,600
8027,600
8029,"3,400"
8031,"48,200"
8033,200
8035,"12,100"
8037,"3,300"
8039,"1,400"
8041,"50,300"
8043,"6,900"
8045,"6,500"
8047,200
8049,900
8051,"1,300"
8053,100
8055,"1,000"
8057,100
8059,"37,900"
8061,200
8063,900
8065,"1,100"
8067,"4,400"
8069,"21,700"
8071,"1,200"
8073,600
8075,"2,400"
8077,"14,400"
8079,100
8081,"1,600"
8083,"2,200"
8085,"4,600"
8087,"3,000"
8089,"1,500"
8091,500
8093,"2,400"
8095,500
8097,"1,100"
8099,"1,000"
8101,"12,800"
8103,800
8105,900
8107,"2,700"
8109,500
8111,100
8113,800
8115,300
8117,"1,700"
8119,"1,300"
8121,500
8123,"23,000"
8125,"1,100"
9001,"49,400"
9003,"30,800"
9005,"6,900"
9007,"3,800"
9009,"33,800"
9011,"8,100"
9013,"4,000"
9015,"5,300"
10001,"13,300"
10003,"28,800"
10005,"15,700"
11001,"22,100"
12001,"23,300"
12003,"3,000"
12005,"26,000"
12007,"6,000"
12009,"59,900"
12011,"249,000"
12013,"2,800"
12015,"21,500"
12017,"19,200"
12019,"21,000"
12021,"41,400"
12023,"14,200"
12027,"5,500"
12029,"3,400"
12031,"111,900"
12033,"38,800"
12035,"13,800"
12037,"2,200"
12039,"9,100"
12041,"3,500"
12043,"2,500"
12045,"3,100"
12047,"2,600"
12049,"4,400"
12051,"7,700"
12053,"24,100"
12055,"16,000"
12057,"161,400"
12059,"3,100"
12061,"19,400"
12063,"9,700"
12065,"2,900"
12067,"1,600"
12069,"39,300"
12071,"84,400"
12073,"27,500"
12075,"8,600"
12077,"1,600"
12079,"3,400"
12081,"42,600"
12083,"46,900"
12085,"13,400"
12086,"329,200"
12087,"16,500"
12089,"8,200"
12091,"24,800"
12093,"7,900"
12095,"160,900"
12097,"39,100"
12099,"165,900"
12101,"68,300"
12103,"103,900"
12105,"98,100"
12107,"13,200"
12109,"20,200"
12111,"41,300"
12113,"23,700"
12115,"42,600"
12117,"41,400"
12119,"13,700"
12121,"7,300"
12123,"4,000"
12125,"3,300"
12127,"66,000"
12129,"6,000"
12131,"8,500"
12133,"3,900"
